,0,1
0,Adygey,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('CanESM5', 'ssp585')]"
1,Altay,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('EC-Earth3', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245'), ('AWI-CM-1-1-MR', 'ssp585')]"
2,Amur,"[('AWI-CM-1-1-MR', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
3,Arkhangel'sk,"[('ACCESS-CM2', 'ssp126'), ('BCC-CSM2-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('UKESM1-0-LL', 'ssp370'), ('EC-Earth3', 'ssp585')]"
4,Astrakhan',"[('INM-CM4-8', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('IPSL-CM6A-LR', 'ssp245'), ('UKESM1-0-LL', 'ssp370'), ('MIROC6', 'ssp585')]"
5,Bashkortostan,"[('CNRM-CM6-1', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
6,Belgorod,"[('ACCESS-CM2', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('MIROC6', 'ssp126'), ('EC-Earth3', 'ssp370'), ('BCC-CSM2-MR', 'ssp585')]"
7,Bryansk,"[('ACCESS-CM2', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CanESM5', 'ssp245'), ('EC-Earth3', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('CNRM-CM6-1', 'ssp370'), ('MIROC6', 'ssp370')]"
8,Buryat,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('EC-Earth3', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
9,Chechnya,"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('BCC-CSM2-MR', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('EC-Earth3', 'ssp370')]"
10,Chelyabinsk,"[('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('ACCESS-CM2', 'ssp370'), ('GFDL-ESM4', 'ssp585'), ('NorESM2-MM', 'ssp585')]"
11,Chukot,"[('AWI-CM-1-1-MR', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245')]"
12,Chuvash,"[('CanESM5', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('INM-CM4-8', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
13,CityofSt.Petersburg,"[('AWI-CM-1-1-MR', 'ssp126'), ('CanESM5', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp585')]"
